"JobClass","NW","NE","Score","MaxSalary"
"Highway_Dist._Maintenance_Supervisor",0,3,649,7464.32
"Highway_Maintenance_Foreman",0,4,516,6934.58
"Highway_Maintenance_Worker",0,23,208,4449.38
"Histology_Supervisor",1,1,344,3862.96
"Histology_Technician",4,4,268,3503.26
"Unknown_counselor",13,13,343,4403.6
"Housekeeping_Aide",1,1,111,3178.44
"Information_Services_Assistant_Director",0,2,678,11028.62
"Information_Services_Director",0,1,861,13077.82
"Information_Writer",1,2,374,5569.9
"Information_Writer_Senior",4,5,443,6607.58
"Internal_Audit_Director",0,1,776,10760.48
"Investigator",1,21,515,6607.58
"Investigator_Supervisor",0,3,607,7283.38
"Investment_Manager",0,1,545,8430.06
"Juvenile_Corrections_Supervisor",4,15,432,6934.58
"Juvenile_Corrections_Worker",14,50,330,5358.44
"Juvenile_Security_Officer",4,18,324,4959.5
"Labor_Relations__Director",0,1,787,10503.24
"Laboratory_Aide",4,4,169,2742.44
"Laboratory_Assistant",10,15,205,2958.26
"Laboratory_Information_Clerk",9,14,244,3110.86
"Laboratory_Technician",14,16,251,3503.26
"Land_Survey_Technician",1,6,336,6409.2
"Land_Surveyor",0,1,424,7106.8
"Land_Surveyor_Senior",0,1,579,8231.68
"Laundry_Service_Operator",0,1,208,4362.18
"Laundry_Services_Supervisor",0,1,444,5175.32
"Law_Clerk",4,5,322,3956.7
"Legal_Secretary",27,27,272,3954.52
"Legal_Secretary_Senior",5,5,361,4362.18
"Legal_Services_Advisor",5,10,448,5569.9
"Legal_Services_Program_Coordinator",1,1,529,6771.08
"Librarian",30,37,391,5707.24
"Librarian_Associate",2,2,325,4928.98
"Librarian_Coordinating",4,5,548,8430.06
"Librarian_Principal",10,13,542,7283.38
"Librarian_Senior",12,13,461,6607.58
"Library_Assistant",4,6,197,3854.24
"Library_Audio-Visual_Services_Supervisor",0,1,508,6607.58
"Library_Director",0,1,759,14283.36
"Library_Director_Deputy",1,1,635,11632.48
"Library_Division_Manager",1,1,581,10246
"Library_Facilities_Superevisor",0,1,392,6934.58
"Management_Analyst_Principal",0,1,537,8850.8
"Management_Information_Specialist",2,7,333,5569.9
"Management_Information_Specialist_Principal",0,4,540,7464.32
"Management_Information_Specialist_Senior",1,3,438,6607.58
"Materials_Management_Supervisor",0,1,556,6607.58
"Medical_Center_Administrator",0,1,886,13404.82
"Medical_Center_Administrator_Deputy",0,1,841,12515.38
"Medical_Center_Administrator_SR._Associate",0,1,790,11918.06
"Medical_Center_Associate_Administrator",2,6,761,11353.44
"Medical_Center_Safety_and_Security_Director",0,1,601,6291.48
"Medical_Center_Social_Services_Director",0,1,538,8641.52
"Medical_Examiners_Investigative_Assistant",0,2,371,4471.18
"Medical_Examiners_Investigator",0,4,449,5541.56
"Medical_Examiners_Manager",1,1,617,6771.08
"Medical_Examiners_Technician",0,2,239,4054.8
"Medical_Payment_Adjuster",12,12,255,3254.74
"Medical_Records_Service_Manager",3,3,432,5175.32
"Medical_Records_Service_Manager_Senior",1,1,573,5707.24
"Medical_Records_Services_Director",1,1,654,6934.58
"Medical_Records_Technician",12,13,304,3769.22
"Medical_Secretary",19,19,189,3407.34
"Medical_Secretary_Senior",8,8,319,3769.22
"Medical_Technologist",35,41,398,5175.32
"Medical_Technologist_Supervisor",5,8,603,6291.48
"Medical_Technologist_Chief",0,1,748,7283.38
"Medical_Technologist_Senior",6,9,433,5707.24
"Medical_Technology_Educatin_Coordinator",1,1,615,5707.24
"Medical_Transcriber",12,12,226,3546.86
"Mental_Health_Division_Manager",1,1,736,9881.94
"Mental_Health_Unit_Supervisor",3,8,479,7919.94
"Unknown2",1,4,339,3496.72
"Mental_Retardation_Program_Manager",1,1,733,9881.94
"Microfilmer",5,8,167,2897.22
"Microfilmer_Senior",0,3,285,4098.4
"Nuclear_Midicine_Technologist",6,6,389,5434.74
"Nuclear_Midicine_Technologist_Chief",1,1,718,7106.8
"Nuclear_Midicine_Technologist_Senior",3,3,450,5990.64
"Nurse_Anesthetist",9,15,537,7464.32
"Nurse_Anesthetist_Chief",0,1,676,8231.68
"Nurse_Midwife",4,4,466,6448.44
"Nurse_Practitioner",9,9,563,6141.06
"Nurse_Head",24,26,466,6032.06
"Nurse_Institutional",4,6,407,5774.82
"Nurse_Licensed_Practical",11,13,300,3769.22
"Nurse_Public_Health",18,19,491,5395.5
"Nurse_Senior_Staff",9,10,433,5678.9
"Nurse_Staff",191,204,356,5395.5
"Nusring_Assistant",48,81,257,2966.98
"Nursing_Manager_Clinical",7,7,632,7283.38
"Nursing_Manager_Outpatient",1,1,601,7647.44
"Nursing_Program_Specialist",2,2,571,6141.06
"Nursing_Service_Assistant_Director",1,1,740,8031.12
"Nursing_Specialist_Clinical",8,9,473,6934.58
"Nursing_Supervisor",21,24,637,6356.88
"Nutritionist",1,1,436,5434.74
"Occupational_Therapist",3,3,402,5175.32
"Occupational_Therapist_Senior",1,1,460,5569.9
"Office_Services_Supervisor",3,3,363,4756.76
"Offset_Equipment_Operator",1,3,235,3457.48
"Offset_Equipment_Operator_Senior",1,2,259,3631.88
"Operating_Room_Supervisor",1,1,642,6934.58
"Optometrist",0,1,596,9757.68
"Painter",0,2,264,5785.72
"Paramedic",5,69,437,4918.08
"Parking_Attendent",0,1,179,2969.16
"Parole_Officer_Career",6,22,500,7287.74
"Parole_Officer_Senior",1,5,473,6932.4
"Parole_Services_Manager",0,1,538,8850.8
"Parole_Services_Supervisor",1,3,555,8100.88
"Pathologist_Assistant",0,1,376,5434.74
"Patient_Supply_Coordinator",0,1,431,4811.26
"Patient_counselor",10,11,249,3577.38
"Patient_counselor_Principal",17,19,404,4889.74
"Patient_counselor_Senior",25,35,341,4445.02
"Personnel_Assistant",2,2,341,4584.54
"Personnel_Director",0,1,875,12657.08
"Personnel_Director_Assistant",0,1,796,10503.24
"Personnel_Representative",5,6,374,5569.9
"Personnel_Representative_Senior",10,23,514,7464.32
"Personnel_Supervisor",0,9,679,8850.8
"Pharmacist",12,24,476,6908.42
"Pharmacist_Senior",1,5,542,7647.44
"Pharmacy_Services_Director",0,1,667,8430.06
"Pharmacy_Technician_Senior",1,1,320,3590.46
"Physical_Therapist",5,6,398,5175.32
"Physical_Therapist_Chief",1,1,674,6607.58
"Physician_Assistant",1,2,610,10867.3
"Physician_Associate",3,16,760,14562.4
"Physician_SR._Associate",0,1,809,18582.32
"Planner",2,7,425,6607.58
"Planner_Senior",12,28,543,7464.32
"Planning_and_Development_Director",0,1,802,11632.48
"Planning_Supervisor",0,5,672,8850.8
"Plumber",0,2,341,6821.22
"Probate_Division_Manager",0,1,642,8231.68
"Probate_Officer",3,5,457,5903.44
"Probation_Officer_Principal",37,97,521,7287.74
"Probation_Officer_Senior",2,7,478,6932.4
"Program_Analysis_Manager",0,2,728,8850.8
"Program_Analysis_Supervisor",1,4,547,7464.32
"Program_Analyst",4,7,404,5569.9
"Program_Analyst_Principal",0,2,493,7464.32
"Program_Analyst_Senior",5,10,423,6607.58
"Property_Description_Aide",3,7,225,4320.76
"Property_Description_Technician",0,9,299,5234.18
"Property_Description_Technician_Senior",0,4,395,6141.06
"Property_Development_Manager",0,1,819,11028.62
"Property_Identification_Supervisor",0,1,631,6607.58
"Property_Management_Specialist",2,2,335,4811.26
"Property_Records_Specialist",1,1,254,4383.98
"Property_Taxation_Project_Manager",0,1,521,7647.44
"Psychologist",1,5,505,7337.88
"Psychologist_Chief_Clinical",0,4,707,11074.4
"Psychologist_Chief_Court",0,1,668,9295.52
"Psychologist_unknown",3,8,515,6934.58
"Psychologist_Senior_Clinical",4,10,551,9757.68
"Psychiatrist",2,2,440,5395.5
"Public_Affairs_Assistant_Director",0,1,623,8031.12
"Public_Affairs_Director",0,1,792,10004.02
"Public_Defender",0,1,846,13470.22
"Public_Records_Supervisor",1,3,585,6934.58
"Public_Services_Unit_Supervisor",0,1,544,5569.9
"Purchasing_Manager",0,1,724,9526.6
"Records_and_Services_Centers_Director",0,1,837,11580.16
"Records_Manager",1,1,437,7464.32
"Recreational_Therapist",5,13,403,5358.44
"Registered_Property_Anayst",1,1,458,6291.48
"Respiratory_Therapist",6,16,347,4255.36
"Respiratory_Therapist_Chief",0,1,676,6291.48
"Respiratory_Therapist_Senior",2,2,462,4695.72
"Right_of_Way_Agent",1,3,371,6679.52
"Right_of_Way_Agent_Principal",0,1,692,9156
"Right_of_Way_Agent_Senior",0,1,490,7647.44
"Risk_Manager",0,1,708,8641.52
"Safety_Officer",0,1,485,5990.64
"Security_Guard",4,24,322,4578
"Security_Supervisor",0,3,419,5051.06
"Service_Center_Manager",1,1,614,8031.12
"Service_Center_Representative",15,20,208,3496.72
"Service_Center_Representative_Senior",10,11,259,3854.24
"Service_Center_Supervisor",3,4,482,5707.24
"Sheriff",0,1,914,13470.22
"Sheriff's_Captain",0,4,721,8048.56
"Sheriff's_Crime_Laboratory_Technician",0,11,454,6121.44
"Sheriff's_Detective",1,15,547,6483.32
"Sheriff's_Detention_Deputy",18,67,316,5358.44
"Sheriff's_Inspector",0,3,813,8850.8
"Sheriff's_Lieutenant",0,11,674,7300.82
"Sheriff's_Sergeant",2,33,501,6631.56
"Sheriff_Chief_Deputy",0,1,823,9757.68
"Sheriff_Deputy",25,244,380,5580.8
"Social_Services_Manager",0,1,716,11026.44
"Social_Work_Consultant_Medical",0,1,474,7588.58
"Social_Work_Unit_Supervisor",19,58,553,7919.94
"Social_Worker1",4,6,431,5657.1
"Social_Worker",40,66,509,6986.9
"Social_Worker_Principal",3,6,490,6291.48
"Social_Worker_Senior",144,261,442,6651.18
"Social_Worker_Psychiatric",9,21,525,6934.58
"Special_Programs_Councelor",10,22,322,4227.02
"Speech_Language_Pathologist",1,1,465,5707.24
"Speech_Language_Pathology_Director",1,1,583,6448.44
"Staff_Development_Coordinator",2,2,603,6934.58
"Staff_Development_Instructor",5,7,505,6032.06
"Staff_Development_Instructor_Senior",1,1,623,6302.38
"Station_Instructor",16,18,466,5774.82
"Statistical_Analyst",0,4,471,6607.58
"Statistical_Analyst_Senior",0,1,536,7464.32
"Stereoplotter_Operator",0,1,313,5434.74
"Stock_Clerk_Principal",3,19,143,3296.16
"Stock_Clerk_unknown",0,2,375,4157.26
"Stock_Clerk_Senior",1,5,254,3769.22
"Stockworker_Mechanical_Supervisor",1,1,436,5434.74
"Stockworker_Mechanical",0,4,245,4137.64
"Stockworker_Senior_Mechanical",0,2,297,4558.38
"Stores_Supervisor",0,2,444,4584.54
"Superintendent_of_ACF",0,1,773,10246
"Superintendent_of_JJC",0,1,773,9757.68
"Superintendent_Assistant_Institution",0,2,548,8850.8
"Supply_Aide",1,8,156,2847.08
"Supply_Aide_Senior",1,4,221,2971.34
"Surgical_Technician",6,9,310,3769.22
"Surveyor_County",0,1,719,10004.02
"Tax_Clerk",9,14,266,3913.1
"Tax_Clerk_Senior",3,7,294,4320.76
"Telecommunications_Supervisor",1,1,441,4756.76
"Telephone_Operator-Receptionist",29,32,200,3108.68
"Tour_Information_Guide",1,1,225,2969.16
"Traffic_Sign_Foreman",0,1,529,6934.58
"Traffic_Signal_Technician",0,3,319,7135.14
"Traffic_Signal_Technician_Senior",0,1,411,8266.56
"Traffic_Signworker",0,7,267,4761.12
"Training_and_Employment_Assistant_Director",0,1,626,8730.9
"Transcriber_Typist",16,16,161,3108.68
"Transportation_Director",0,1,824,12949.2
"Utility_Inspector_Chief",0,1,483,6141.06
"Utilization_Review_Coordinator",3,3,416,4695.72
"Venereal_Disease_Specialist",0,1,348,5395.5
"Veterans_Services_Representative",0,2,385,4915.9
"Veterans_Services_Director",0,1,586,7647.44
"Video_Display_Terminal_Operator",23,23,209,3176.26
"Video_Display_Terminal_Operator_Senior",1,1,265,3590.46
"Vocational_Counselor",5,7,448,5657.1
"Welder_Mechanic",0,2,326,5190.58
"Word_Processing_Specialist",16,16,262,3769.22
"X-Ray_Technician",27,32,302,4251
"X-Ray_Technician_Senior",4,4,400,4928.98
"X-Ray_Technician_Special_Procedures",1,3,352,4471.18
"X-Ray_Technologist",1,1,572,6607.58
